user_id,edad,sexo,estado,ciudad,nivel_educativo,ocupacion,ingreso_mensual_mxn,antiguedad_dias,es_hey_pro,nomina_domiciliada,canal_apertura,score_buro,dias_desde_ultimo_login,preferencia_canal,satisfaccion_1_10,recibe_remesas,usa_hey_shop,idioma_preferido,tiene_seguro,num_productos_activos,patron_uso_atipico,num_no_procesadas,saldo,num_transacciones,categoria,categoria_salud,cluster_dominante,cluster_label_dominante,num_clusters_distintos,seg_0,seg_1,seg_2,seg_3,seg_4,seg_5,seg_6,seg_7,seg_8,seg_9,seg_10,seg_11,seg_12,seg_13,seg_14,cubierto_por_trigger,n_triggers_aplicables,next_best_action,next_best_action_label,next_best_action_message,next_best_action_tipo
USR-00001,21,M,Ciudad de México,CDMX - Benito Juárez,Preparatoria,Empleado,24500,1554,True,False,App,527,1,app_android,10.0,False,True,es_MX,False,2,False,3.0,-73497.31,56,Débito + Crédito,Endeudamiento Medio,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,0,,,,
USR-00002,18,M,Jalisco,Puerto Vallarta,Preparatoria,Estudiante,19000,1410,True,False,App,714,3,app_android,8.0,False,True,es_MX,True,2,False,1.0,-8557.229999999996,74,Débito + Crédito,Bajo Endeudamiento,3,Cotización de crédito automotriz,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,True,1,T1_lead_credito_auto,Lead crediticio: auto,🚗 ¡Tu auto está más cerca de lo que crees! Tienes pre-aprobación para tu crédito automotriz. Cotiza con un click y conoce tu mensualidad.,cross_sell
USR-00003,23,H,Chihuahua,Cuauhtémoc,Licenciatura,Estudiante,14000,1174,True,False,App,454,3,app_ios,8.0,False,True,es_MX,False,2,False,4.0,-25467.35000000001,79,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,1,T3_friccion_operacional,Fricción operacional,🛠️ Notamos que has tenido transacciones con problemas. Un asesor puede ayudarte a resolverlas en menos de 5 minutos. ¿Te llamamos ahora?,retencion
USR-00004,32,SE,Nuevo León,Guadalupe,Posgrado,Empleado,61000,1168,False,False,Fan Shop,837,16,app_ios,10.0,True,False,es_MX,True,3,False,2.0,-93133.74,66,Débito + Crédito,Bajo Endeudamiento,7,Cancelación de tarjeta de crédito,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,1,T7_intercepta_cancelacion,Riesgo cancelación TDC,"💳 Antes de cancelar, déjanos hacerte una oferta exclusiva: anualidad gratis el próximo año + cashback duplicado por 3 meses.",retencion
USR-00005,26,M,Ciudad de México,CDMX - Cuauhtémoc,Preparatoria,Empresario,27000,816,True,False,Fan Shop,533,1,app_ios,7.0,False,True,es_MX,True,2,False,2.0,-52212.240000000005,93,Débito + Crédito,Endeudamiento Medio,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,0,,,,
USR-00006,27,H,Otros,Zacatecas,Licenciatura,Empleado,28000,1215,True,False,App,502,1,app_android,9.0,False,False,es_MX,True,2,False,2.0,-24894.740000000005,75,Débito + Crédito,Bajo Endeudamiento,14,Aumentar límite de transferencias,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,0,,,,
USR-00007,41,SE,Baja California,Mexicali,Secundaria,Empleado,32000,1345,True,True,App,615,8,app_android,9.0,False,True,es_MX,True,4,False,2.0,-8154.779999999999,55,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,0,,,,
USR-00008,31,H,,,Licenciatura,Empleado,11500,1117,True,False,App,601,0,app_android,10.0,False,True,es_MX,True,2,False,2.0,-123394.06,89,Débito + Crédito,Bajo Endeudamiento,7,Cancelación de tarjeta de crédito,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True,1,T7_intercepta_cancelacion,Riesgo cancelación TDC,"💳 Antes de cancelar, déjanos hacerte una oferta exclusiva: anualidad gratis el próximo año + cashback duplicado por 3 meses.",retencion
USR-00009,54,H,Nuevo León,San Nicolás de los Garza,Preparatoria,Empleado,19500,185,False,True,App,665,7,app_android,9.0,False,True,es_MX,False,2,False,1.0,132735.31,36,Débito + Crédito,Bajo Endeudamiento,11,Transferencia no recibida o rechazada,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,0,,,,
USR-00010,26,H,Coahuila,Monclova,Preparatoria,Independiente,23500,357,False,False,Fan Shop,609,2,app_ios,7.0,False,False,es_MX,False,1,False,1.0,-54703.71,62,Solo Débito,Sin Información,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,False,0,,,,
USR-00011,42,M,Ciudad de México,CDMX - Cuauhtémoc,Preparatoria,Empleado,60000,1702,False,True,App,592,7,app_ios,10.0,False,False,es_MX,False,2,False,2.0,85646.65999999997,48,Solo Débito,Sin Información,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,0,,,,
USR-00012,33,H,Guanajuato,Salamanca,Posgrado,Empleado,18000,664,True,False,Fan Shop,482,9,app_ios,5.0,False,True,es_MX,True,3,False,5.0,-52584.04,33,Débito + Crédito,Límite Agotado,9,Consulta sobre cambio de CLABE interbancaria,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,0,,,,
USR-00013,52,H,Nuevo León,Monterrey,Posgrado,Empleado,26000,953,False,True,App,612,5,app_ios,10.0,False,False,es_MX,True,2,True,4.0,110444.96,45,Débito + Crédito,Bajo Endeudamiento,0,Solicitar número de atención al cliente,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,1,T4_solicita_escalacion,Cliente pide escalación humana,"👤 Te conectamos directamente con un asesor humano. Sin esperas, sin menús.",experiencia
USR-00014,26,M,Jalisco,Tonalá,Preparatoria,Empleado,39000,1698,False,True,Fan Shop,575,9,app_ios,6.0,False,False,es_MX,True,3,False,2.0,-38311.080000000016,46,Débito + Crédito,Capacidad de Endeudamiento,4,Créditos personales y diferimientos,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,False,0,,,,
USR-00015,54,H,Jalisco,Puerto Vallarta,Licenciatura,Empleado,19500,373,False,True,App,484,5,app_ios,9.0,False,True,es_MX,True,3,False,0.0,-107217.42,56,Usuario Integral,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,False,0,,,,
USR-00016,53,H,Otros,Durango,Licenciatura,Empleado,18000,1074,True,True,App,749,4,app_android,10.0,True,False,es_MX,False,4,False,1.0,65267.13,43,Débito + Crédito,Bajo Endeudamiento,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,0,,,,
USR-00017,48,H,Nuevo León,García,Preparatoria,Independiente,25000,181,False,False,App,662,14,app_android,7.0,False,False,es_MX,True,3,True,2.0,-103777.05,64,Débito + Crédito,Bajo Endeudamiento,9,Consulta sobre cambio de CLABE interbancaria,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,0,,,,
USR-00018,25,M,Ciudad de México,CDMX - Tlalpan,Licenciatura,Empleado,22000,1491,True,True,App,720,4,app_android,7.0,False,True,es_MX,False,3,False,3.0,24733.699999999997,56,Débito + Crédito,Bajo Endeudamiento,1,Aclaración de cargos no reconocidos,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,,,,
USR-00019,26,H,Puebla,Atlixco,Posgrado,Empleado,15500,917,False,True,App,376,111,app_android,6.0,False,False,es_MX,False,0,False,1.0,-45308.84,11,,,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,,,,
USR-00020,36,H,Querétaro,Querétaro,Licenciatura,Independiente,36500,1694,True,False,App,821,3,app_ios,7.0,False,True,es_MX,False,3,False,0.0,223166.68999999992,81,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,False,0,,,,
USR-00021,42,M,Otros,La Paz,Secundaria,Empleado,20000,60,True,True,App,611,4,app_ios,7.0,False,False,es_MX,False,1,False,1.0,-56230.100000000006,31,Solo Débito,Sin Información,14,Aumentar límite de transferencias,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,0,,,,
USR-00022,54,H,Jalisco,Zapopan,Posgrado,Empresario,36000,134,True,False,App,803,10,app_ios,8.0,False,False,es_MX,False,0,False,6.0,76279.45000000001,96,,,0,Solicitar número de atención al cliente,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,True,1,T4_solicita_escalacion,Cliente pide escalación humana,"👤 Te conectamos directamente con un asesor humano. Sin esperas, sin menús.",experiencia
USR-00023,34,M,Ciudad de México,CDMX - Coyoacán,Licenciatura,Empleado,12500,1475,False,True,Fan Shop,570,17,app_ios,6.0,False,False,es_MX,False,3,False,1.0,-29550.070000000007,50,Débito + Crédito,Endeudamiento Medio,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,0,,,,
