user_id,edad,sexo,estado,ciudad,nivel_educativo,ocupacion,ingreso_mensual_mxn,antiguedad_dias,es_hey_pro,nomina_domiciliada,canal_apertura,score_buro,dias_desde_ultimo_login,preferencia_canal,satisfaccion_1_10,recibe_remesas,usa_hey_shop,idioma_preferido,tiene_seguro,num_productos_activos,patron_uso_atipico,num_no_procesadas,saldo,num_transacciones,categoria,categoria_salud,cluster_dominante,cluster_label_dominante,num_clusters_distintos,seg_0,seg_1,seg_2,seg_3,seg_4,seg_5,seg_6,seg_7,seg_8,seg_9,seg_10,seg_11,seg_12,seg_13,seg_14,cluster,cluster_label,pca_x,pca_y
USR-00001,21,M,Ciudad de México,CDMX - Benito Juárez,Preparatoria,Empleado,24500,1554,True,False,App,527,1,app_android,10.0,False,True,es_MX,False,2,False,3.0,-73497.31,56,Débito + Crédito,Endeudamiento Medio,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Jóvenes Digital-First,-1.1161119603241514,-1.0922892316606143
USR-00002,18,M,Jalisco,Puerto Vallarta,Preparatoria,Estudiante,19000,1410,True,False,App,714,3,app_android,8.0,False,True,es_MX,True,2,False,1.0,-8557.229999999996,74,Débito + Crédito,Bajo Endeudamiento,3,Cotización de crédito automotriz,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jóvenes Digital-First,-1.2275715097959885,-0.3302551441473135
USR-00003,23,H,Chihuahua,Cuauhtémoc,Licenciatura,Estudiante,14000,1174,True,False,App,454,3,app_ios,8.0,False,True,es_MX,False,2,False,4.0,-25467.35000000001,79,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Jóvenes Digital-First,-1.0795145813338893,-1.0573907423000033
USR-00004,32,SE,Nuevo León,Guadalupe,Posgrado,Empleado,61000,1168,False,False,Fan Shop,837,16,app_ios,10.0,True,False,es_MX,True,3,False,2.0,-93133.74,66,Débito + Crédito,Bajo Endeudamiento,7,Cancelación de tarjeta de crédito,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Power User Crediticio,-0.6414271693638397,-0.013099261368673037
USR-00005,26,M,Ciudad de México,CDMX - Cuauhtémoc,Preparatoria,Empresario,27000,816,True,False,Fan Shop,533,1,app_ios,7.0,False,True,es_MX,True,2,False,2.0,-52212.240000000005,93,Débito + Crédito,Endeudamiento Medio,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Jóvenes Digital-First,-1.3962744978987371,-0.9746606043618483
USR-00006,27,H,Otros,Zacatecas,Licenciatura,Empleado,28000,1215,True,False,App,502,1,app_android,9.0,False,False,es_MX,True,2,False,2.0,-24894.740000000005,75,Débito + Crédito,Bajo Endeudamiento,14,Aumentar límite de transferencias,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Jóvenes Digital-First,-1.2621968495151041,-0.5659629067025747
USR-00007,41,SE,Baja California,Mexicali,Secundaria,Empleado,32000,1345,True,True,App,615,8,app_android,9.0,False,True,es_MX,True,4,False,2.0,-8154.779999999999,55,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,Nómina Establecida,-0.8561531182102808,0.22690558612376466
USR-00008,31,H,,,Licenciatura,Empleado,11500,1117,True,False,App,601,0,app_android,10.0,False,True,es_MX,True,2,False,2.0,-123394.06,89,Débito + Crédito,Bajo Endeudamiento,7,Cancelación de tarjeta de crédito,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Jóvenes Digital-First,-1.5337903279606682,-1.3659389481981536
USR-00009,54,H,Nuevo León,San Nicolás de los Garza,Preparatoria,Empleado,19500,185,False,True,App,665,7,app_android,9.0,False,True,es_MX,False,2,False,1.0,132735.31,36,Débito + Crédito,Bajo Endeudamiento,11,Transferencia no recibida o rechazada,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,Nómina Establecida,-0.2559442667455792,1.1867169194815115
USR-00010,26,H,Coahuila,Monclova,Preparatoria,Independiente,23500,357,False,False,Fan Shop,609,2,app_ios,7.0,False,False,es_MX,False,1,False,1.0,-54703.71,62,Solo Débito,Sin Información,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,Jóvenes Digital-First,-0.593484204965965,-0.9855058715722955
USR-00011,42,M,Ciudad de México,CDMX - Cuauhtémoc,Preparatoria,Empleado,60000,1702,False,True,App,592,7,app_ios,10.0,False,False,es_MX,False,2,False,2.0,85646.65999999997,48,Solo Débito,Sin Información,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,Nómina Establecida,-0.6181914949314982,0.9550718430970196
USR-00012,33,H,Guanajuato,Salamanca,Posgrado,Empleado,18000,664,True,False,Fan Shop,482,9,app_ios,5.0,False,True,es_MX,True,3,False,5.0,-52584.04,33,Débito + Crédito,Límite Agotado,9,Consulta sobre cambio de CLABE interbancaria,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,Vulnerables Frustrados,-0.014315514053043987,-0.9377691268613987
USR-00013,52,H,Nuevo León,Monterrey,Posgrado,Empleado,26000,953,False,True,App,612,5,app_ios,10.0,False,False,es_MX,True,2,True,4.0,110444.96,45,Débito + Crédito,Bajo Endeudamiento,0,Solicitar número de atención al cliente,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Nómina Establecida,-0.6281382008235987,0.9284685109038616
USR-00014,26,M,Jalisco,Tonalá,Preparatoria,Empleado,39000,1698,False,True,Fan Shop,575,9,app_ios,6.0,False,False,es_MX,True,3,False,2.0,-38311.080000000016,46,Débito + Crédito,Capacidad de Endeudamiento,4,Créditos personales y diferimientos,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,Nómina Establecida,-0.296266923139352,-0.3695278469033454
USR-00015,54,H,Jalisco,Puerto Vallarta,Licenciatura,Empleado,19500,373,False,True,App,484,5,app_ios,9.0,False,True,es_MX,True,3,False,0.0,-107217.42,56,Usuario Integral,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,3,Nómina Establecida,-0.5267286772801146,-0.7618645059642981
USR-00016,53,H,Otros,Durango,Licenciatura,Empleado,18000,1074,True,True,App,749,4,app_android,10.0,True,False,es_MX,False,4,False,1.0,65267.13,43,Débito + Crédito,Bajo Endeudamiento,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,Nómina Establecida,-0.9008713186465276,0.9540527140811835
USR-00017,48,H,Nuevo León,García,Preparatoria,Independiente,25000,181,False,False,App,662,14,app_android,7.0,False,False,es_MX,True,3,True,2.0,-103777.05,64,Débito + Crédito,Bajo Endeudamiento,9,Consulta sobre cambio de CLABE interbancaria,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,Nómina Establecida,-0.10551516521063103,-0.7173879847020446
USR-00018,25,M,Ciudad de México,CDMX - Tlalpan,Licenciatura,Empleado,22000,1491,True,True,App,720,4,app_android,7.0,False,True,es_MX,False,3,False,3.0,24733.699999999997,56,Débito + Crédito,Bajo Endeudamiento,1,Aclaración de cargos no reconocidos,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Nómina Establecida,-1.0130468576377774,0.009131778691709336
USR-00019,26,H,Puebla,Atlixco,Posgrado,Empleado,15500,917,False,True,App,376,111,app_android,6.0,False,False,es_MX,False,0,False,1.0,-45308.84,11,,,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Dormidos en Riesgo,4.9650694051776005,-0.5619861037567451
USR-00020,36,H,Querétaro,Querétaro,Licenciatura,Independiente,36500,1694,True,False,App,821,3,app_ios,7.0,False,True,es_MX,False,3,False,0.0,223166.68999999992,81,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,Premium Patrimonial,-1.46385923360392,1.9749575856968766
USR-00021,42,M,Otros,La Paz,Secundaria,Empleado,20000,60,True,True,App,611,4,app_ios,7.0,False,False,es_MX,False,1,False,1.0,-56230.100000000006,31,Solo Débito,Sin Información,14,Aumentar límite de transferencias,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Nómina Establecida,-0.11725701464524091,-0.654958530537165
USR-00022,54,H,Jalisco,Zapopan,Posgrado,Empresario,36000,134,True,False,App,803,10,app_ios,8.0,False,False,es_MX,False,0,False,6.0,76279.45000000001,96,,,0,Solicitar número de atención al cliente,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Premium Patrimonial,-0.8428790365347262,0.4635138812986511
USR-00023,34,M,Ciudad de México,CDMX - Coyoacán,Licenciatura,Empleado,12500,1475,False,True,Fan Shop,570,17,app_ios,6.0,False,False,es_MX,False,3,False,1.0,-29550.070000000007,50,Débito + Crédito,Endeudamiento Medio,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,Nómina Establecida,0.44676956976319754,-0.5367979936716076
USR-00024,32,M,Guanajuato,Celaya,Preparatoria,Empleado,51000,656,True,False,Fan Shop,656,11,app_ios,9.0,False,False,es_MX,True,5,False,1.0,278351.73,45,Usuario Integral,Capacidad de Endeudamiento,3,Cotización de crédito automotriz,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,Premium Patrimonial,-0.7309976658336214,2.7423379982462115
USR-00025,44,H,Otros,Villahermosa,Licenciatura,Empleado,14000,229,False,True,App,533,12,app_android,8.0,False,False,es_MX,True,3,False,1.0,125405.9,65,Usuario Integral,Bajo Endeudamiento,0,Solicitar número de atención al cliente,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,Nómina Establecida,-0.1866645749464313,0.866010998647628
USR-00026,26,M,Guanajuato,León,Preparatoria,Empleado,22500,212,True,False,App,770,3,app_android,8.0,False,False,es_MX,False,2,True,0.0,-89507.59,82,Débito + Crédito,Endeudamiento Medio,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Jóvenes Digital-First,-1.2020697503564137,-0.8953400134262874
USR-00027,18,H,Tamaulipas,Reynosa,Preparatoria,Estudiante,23000,1773,False,False,App,769,3,app_ios,7.0,False,True,es_MX,False,1,False,4.0,39643.06,63,Solo Débito,Sin Información,13,Consulta y gestión de estado de cuenta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Jóvenes Digital-First,-0.8438902932064744,-0.26260883106786015
USR-00028,31,H,Oaxaca,Tuxtepec,Posgrado,Empresario,28000,757,True,False,Fan Shop,564,0,app_android,,False,False,es_MX,False,2,False,2.0,-40893.2,66,Débito + Crédito,Endeudamiento Medio,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Jóvenes Digital-First,-1.1221722896201836,-0.728460745012036
USR-00029,54,H,,,Licenciatura,Independiente,85000,332,False,False,App,584,11,app_android,10.0,False,False,es_MX,False,4,False,1.0,-167292.83000000002,53,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Power User Crediticio,-0.6918649002576107,-0.3890647462148581
USR-00030,27,SE,Ciudad de México,CDMX - Cuauhtémoc,Licenciatura,Empresario,17500,1205,True,False,App,622,1,app_ios,8.0,False,True,es_MX,False,2,False,1.0,-69863.21,71,Solo Débito,Sin Información,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jóvenes Digital-First,-1.0530744827863912,-1.007910111128112
USR-00031,37,M,Ciudad de México,CDMX - Miguel Hidalgo,Posgrado,Empleado,24000,1069,False,False,App,329,15,app_ios,5.0,True,True,es_MX,False,1,False,9.0,-73508.79999999999,50,Solo Débito,Sin Información,1,Aclaración de cargos no reconocidos,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,Vulnerables Frustrados,0.5449531738668554,-1.6989892389855932
USR-00032,33,M,Ciudad de México,CDMX - Miguel Hidalgo,Licenciatura,Empleado,21500,1052,False,False,Fan Shop,833,5,app_ios,10.0,False,False,es_MX,True,3,False,1.0,220964.8,83,Débito + Crédito,Bajo Endeudamiento,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,Premium Patrimonial,-1.3407373476930469,1.8751637573040458
USR-00033,25,M,Tamaulipas,Reynosa,Preparatoria,Empresario,15500,1310,False,False,App,422,13,app_ios,5.0,False,False,es_MX,False,2,False,4.0,-31380.94,39,Débito + Crédito,Endeudamiento Alto,2,Reposición y renovación de tarjeta física,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,Vulnerables Frustrados,0.48259275950439356,-1.0974254489510065
USR-00034,43,H,Otros,Cuernavaca,Preparatoria,Empleado,34000,1019,True,False,App,755,5,app_android,7.0,False,True,es_MX,True,2,False,4.0,348263.77999999997,84,Solo Débito,Sin Información,9,Consulta sobre cambio de CLABE interbancaria,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,Premium Patrimonial,-1.2203316855558697,2.628898039673883
USR-00035,32,M,Otros,Durango,Preparatoria,Empleado,15000,165,True,False,App,752,1,app_huawei,10.0,False,True,es_MX,False,3,False,3.0,399270.97,74,Débito + Crédito,Bajo Endeudamiento,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,Premium Patrimonial,-1.606124829803803,2.9236447609153204
USR-00036,31,M,Veracruz,Coatzacoalcos,Preparatoria,Empleado,13500,820,False,True,App,690,8,app_ios,,False,False,es_MX,False,4,False,0.0,-60427.490000000005,32,Usuario Integral,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,Nómina Establecida,-0.21609254263392583,-0.3701443220916688
USR-00037,28,H,Coahuila,Saltillo,Posgrado,Empleado,15000,1370,False,False,App,760,1,app_android,10.0,False,False,es_MX,False,1,False,2.0,-80222.27,61,Solo Débito,Sin Información,3,Cotización de crédito automotriz,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Jóvenes Digital-First,-0.9040996123732274,-0.9895338446421746
USR-00038,47,H,,,Licenciatura,Empleado,34500,1229,True,True,App,755,4,app_ios,9.0,False,False,es_MX,False,3,False,0.0,18033.570000000007,59,Débito + Crédito,Bajo Endeudamiento,1,Aclaración de cargos no reconocidos,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,Nómina Establecida,-1.0625303803002193,0.6032752931474581
USR-00039,55,M,Sinaloa,Los Mochis,Licenciatura,Independiente,27500,313,False,False,App,626,90,app_huawei,6.0,False,False,es_MX,False,0,False,0.0,26424.92,10,,,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Dormidos en Riesgo,4.882672612271075,0.7593044620857726
USR-00040,59,M,Nuevo León,García,Preparatoria,Empleado,33000,876,False,False,App,703,6,app_ios,10.0,False,False,es_MX,False,2,False,1.0,225585.17,58,Solo Débito,Sin Información,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,Premium Patrimonial,-0.6052640321978259,2.01231305995542
USR-00041,50,M,Ciudad de México,CDMX - Benito Juárez,Licenciatura,Empleado,19000,843,True,True,App,615,11,app_android,8.0,False,False,es_MX,False,2,False,0.0,51759.25,39,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,Nómina Establecida,0.013094819158920079,0.5500066930820432
USR-00042,34,M,Veracruz,Córdoba,Preparatoria,Empleado,18000,1625,False,True,App,412,15,app_ios,3.0,False,False,es_MX,False,2,False,6.0,-42188.69,62,Débito + Crédito,Endeudamiento Alto,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,Vulnerables Frustrados,0.40292364389492735,-1.2834768248456792
USR-00043,33,H,Baja California,Ensenada,Licenciatura,Empresario,89000,1221,True,False,App,696,11,app_android,10.0,False,False,es_MX,True,3,False,3.0,-134988.83000000002,86,Solo Débito,Sin Información,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,Power User Crediticio,-1.323263224238277,-0.3706774290536018
USR-00044,25,H,Nuevo León,García,Secundaria,Independiente,28000,1589,True,False,App,692,3,app_android,7.0,False,True,es_MX,True,2,False,3.0,-20594.11,80,Débito + Crédito,Endeudamiento Medio,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jóvenes Digital-First,-1.2738707280543102,-0.4813973394981854
USR-00045,52,M,Estado de México,Ecatepec,Licenciatura,Empleado,12500,482,False,True,App,715,138,app_huawei,4.0,False,False,es_MX,False,1,False,0.0,1452.8599999999997,10,Solo Débito,Sin Información,1,Aclaración de cargos no reconocidos,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Dormidos en Riesgo,4.918859840495758,0.4702535573292088
