user_id,edad,sexo,estado,nivel_educativo,ocupacion,ingreso_mensual_mxn,antiguedad_dias,es_hey_pro,nomina_domiciliada,canal_apertura,score_buro,dias_desde_ultimo_login,preferencia_canal,satisfaccion_1_10,recibe_remesas,usa_hey_shop,idioma_preferido,tiene_seguro,num_productos_activos,patron_uso_atipico,num_no_procesadas,saldo,num_transacciones,categoria,categoria_salud,cluster_dominante,cluster_label_dominante,num_clusters_distintos,seg_0,seg_1,seg_2,seg_3,seg_4,seg_5,seg_6,seg_7,seg_8,seg_9,seg_10,seg_11,seg_12,seg_13,seg_14,hc_cluster
USR-00001,21.0,M,Ciudad de México,Preparatoria,Empleado,24500.0,1554.0,1,0,App,527.0,1.0,app_android,10.0,0,1,es_MX,0,2.0,0,3.0,-73497.31,56.0,Débito + Crédito,Endeudamiento Medio,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
USR-00002,18.0,M,Jalisco,Preparatoria,Estudiante,19000.0,1410.0,1,0,App,714.0,3.0,app_android,8.0,0,1,es_MX,1,2.0,0,1.0,-8557.229999999996,74.0,Débito + Crédito,Bajo Endeudamiento,3,Cotización de crédito automotriz,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USR-00003,23.0,H,Chihuahua,Licenciatura,Estudiante,14000.0,1174.0,1,0,App,454.0,3.0,app_ios,8.0,0,1,es_MX,0,2.0,0,4.0,-25467.35000000001,79.0,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00004,32.0,SE,Nuevo León,Posgrado,Empleado,61000.0,1168.0,0,0,Fan Shop,837.0,16.0,app_ios,10.0,1,0,es_MX,1,3.0,0,2.0,-93133.74,66.0,Débito + Crédito,Bajo Endeudamiento,7,Cancelación de tarjeta de crédito,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
USR-00005,26.0,M,Ciudad de México,Preparatoria,Empresario,27000.0,816.0,1,0,Fan Shop,533.0,1.0,app_ios,7.0,0,1,es_MX,1,2.0,0,2.0,-52212.240000000005,93.0,Débito + Crédito,Endeudamiento Medio,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
USR-00006,27.0,H,Otros,Licenciatura,Empleado,28000.0,1215.0,1,0,App,502.0,1.0,app_android,9.0,0,0,es_MX,1,2.0,0,2.0,-24894.740000000005,75.0,Débito + Crédito,Bajo Endeudamiento,14,Aumentar límite de transferencias,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USR-00007,41.0,SE,Baja California,Secundaria,Empleado,32000.0,1345.0,1,1,App,615.0,8.0,app_android,9.0,0,1,es_MX,1,4.0,0,2.0,-8154.779999999999,55.0,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00008,31.0,H,Desconocido,Licenciatura,Empleado,11500.0,1117.0,1,0,App,601.0,0.0,app_android,10.0,0,1,es_MX,1,2.0,0,2.0,-123394.06,89.0,Débito + Crédito,Bajo Endeudamiento,7,Cancelación de tarjeta de crédito,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
USR-00009,54.0,H,Nuevo León,Preparatoria,Empleado,19500.0,185.0,0,1,App,665.0,7.0,app_android,9.0,0,1,es_MX,0,2.0,0,1.0,132735.31,36.0,Débito + Crédito,Bajo Endeudamiento,11,Transferencia no recibida o rechazada,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
USR-00010,26.0,H,Coahuila,Preparatoria,Independiente,23500.0,357.0,0,0,Fan Shop,609.0,2.0,app_ios,7.0,0,0,es_MX,0,1.0,0,1.0,-54703.71,62.0,Solo Débito,Sin Información,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
USR-00011,42.0,M,Ciudad de México,Preparatoria,Empleado,60000.0,1702.0,0,1,App,592.0,7.0,app_ios,10.0,0,0,es_MX,0,2.0,0,2.0,85646.65999999997,48.0,Solo Débito,Sin Información,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00012,33.0,H,Guanajuato,Posgrado,Empleado,18000.0,664.0,1,0,Fan Shop,482.0,9.0,app_ios,5.0,0,1,es_MX,1,3.0,0,5.0,-52584.04,33.0,Débito + Crédito,Límite Agotado,9,Consulta sobre cambio de CLABE interbancaria,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
USR-00013,52.0,H,Nuevo León,Posgrado,Empleado,26000.0,953.0,0,1,App,612.0,5.0,app_ios,10.0,0,0,es_MX,1,2.0,1,4.0,110444.96,45.0,Débito + Crédito,Bajo Endeudamiento,0,Solicitar número de atención al cliente,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USR-00014,26.0,M,Jalisco,Preparatoria,Empleado,39000.0,1698.0,0,1,Fan Shop,575.0,9.0,app_ios,6.0,0,0,es_MX,1,3.0,0,2.0,-38311.080000000016,46.0,Débito + Crédito,Capacidad de Endeudamiento,4,Créditos personales y diferimientos,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
USR-00015,54.0,H,Jalisco,Licenciatura,Empleado,19500.0,373.0,0,1,App,484.0,5.0,app_ios,9.0,0,1,es_MX,1,3.0,0,0.0,-107217.42,56.0,Usuario Integral,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0
USR-00016,53.0,H,Otros,Licenciatura,Empleado,18000.0,1074.0,1,1,App,749.0,4.0,app_android,10.0,1,0,es_MX,0,4.0,0,1.0,65267.13,43.0,Débito + Crédito,Bajo Endeudamiento,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
USR-00017,48.0,H,Nuevo León,Preparatoria,Independiente,25000.0,181.0,0,0,App,662.0,14.0,app_android,7.0,0,0,es_MX,1,3.0,1,2.0,-103777.05,64.0,Débito + Crédito,Bajo Endeudamiento,9,Consulta sobre cambio de CLABE interbancaria,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
USR-00018,25.0,M,Ciudad de México,Licenciatura,Empleado,22000.0,1491.0,1,1,App,720.0,4.0,app_android,7.0,0,1,es_MX,0,3.0,0,3.0,24733.699999999997,56.0,Débito + Crédito,Bajo Endeudamiento,1,Aclaración de cargos no reconocidos,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USR-00019,26.0,H,Puebla,Posgrado,Empleado,15500.0,917.0,0,1,App,376.0,111.0,app_android,6.0,0,0,es_MX,0,0.0,0,1.0,-45308.84,11.0,Desconocido,Desconocido,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
USR-00020,36.0,H,Querétaro,Licenciatura,Independiente,36500.0,1694.0,1,0,App,821.0,3.0,app_ios,7.0,0,1,es_MX,0,3.0,0,0.0,223166.68999999992,81.0,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
USR-00021,42.0,M,Otros,Secundaria,Empleado,20000.0,60.0,1,1,App,611.0,4.0,app_ios,7.0,0,0,es_MX,0,1.0,0,1.0,-56230.100000000006,31.0,Solo Débito,Sin Información,14,Aumentar límite de transferencias,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
USR-00022,54.0,H,Jalisco,Posgrado,Empresario,36000.0,134.0,1,0,App,803.0,10.0,app_ios,8.0,0,0,es_MX,0,0.0,0,6.0,76279.45000000001,96.0,Desconocido,Desconocido,0,Solicitar número de atención al cliente,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
USR-00023,34.0,M,Ciudad de México,Licenciatura,Empleado,12500.0,1475.0,0,1,Fan Shop,570.0,17.0,app_ios,6.0,0,0,es_MX,0,3.0,0,1.0,-29550.070000000007,50.0,Débito + Crédito,Endeudamiento Medio,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00024,32.0,M,Guanajuato,Preparatoria,Empleado,51000.0,656.0,1,0,Fan Shop,656.0,11.0,app_ios,9.0,0,0,es_MX,1,5.0,0,1.0,278351.73,45.0,Usuario Integral,Capacidad de Endeudamiento,3,Cotización de crédito automotriz,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
USR-00025,44.0,H,Otros,Licenciatura,Empleado,14000.0,229.0,0,1,App,533.0,12.0,app_android,8.0,0,0,es_MX,1,3.0,0,1.0,125405.9,65.0,Usuario Integral,Bajo Endeudamiento,0,Solicitar número de atención al cliente,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
USR-00026,26.0,M,Guanajuato,Preparatoria,Empleado,22500.0,212.0,1,0,App,770.0,3.0,app_android,8.0,0,0,es_MX,0,2.0,1,0.0,-89507.59,82.0,Débito + Crédito,Endeudamiento Medio,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00027,18.0,H,Tamaulipas,Preparatoria,Estudiante,23000.0,1773.0,0,0,App,769.0,3.0,app_ios,7.0,0,1,es_MX,0,1.0,0,4.0,39643.06,63.0,Solo Débito,Sin Información,13,Consulta y gestión de estado de cuenta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
USR-00028,31.0,H,Oaxaca,Posgrado,Empresario,28000.0,757.0,1,0,Fan Shop,564.0,0.0,app_android,8.0,0,0,es_MX,0,2.0,0,2.0,-40893.2,66.0,Débito + Crédito,Endeudamiento Medio,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00029,54.0,H,Desconocido,Licenciatura,Independiente,85000.0,332.0,0,0,App,584.0,11.0,app_android,10.0,0,0,es_MX,0,4.0,0,1.0,-167292.83000000002,53.0,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00030,27.0,SE,Ciudad de México,Licenciatura,Empresario,17500.0,1205.0,1,0,App,622.0,1.0,app_ios,8.0,0,1,es_MX,0,2.0,0,1.0,-69863.21,71.0,Solo Débito,Sin Información,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
USR-00031,37.0,M,Ciudad de México,Posgrado,Empleado,24000.0,1069.0,0,0,App,329.0,15.0,app_ios,5.0,1,1,es_MX,0,1.0,0,9.0,-73508.79999999999,50.0,Solo Débito,Sin Información,1,Aclaración de cargos no reconocidos,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
USR-00032,33.0,M,Ciudad de México,Licenciatura,Empleado,21500.0,1052.0,0,0,Fan Shop,833.0,5.0,app_ios,10.0,0,0,es_MX,1,3.0,0,1.0,220964.8,83.0,Débito + Crédito,Bajo Endeudamiento,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
USR-00033,25.0,M,Tamaulipas,Preparatoria,Empresario,15500.0,1310.0,0,0,App,422.0,13.0,app_ios,5.0,0,0,es_MX,0,2.0,0,4.0,-31380.94,39.0,Débito + Crédito,Endeudamiento Alto,2,Reposición y renovación de tarjeta física,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
USR-00034,43.0,H,Otros,Preparatoria,Empleado,34000.0,1019.0,1,0,App,755.0,5.0,app_android,7.0,0,1,es_MX,1,2.0,0,4.0,348263.77999999997,84.0,Solo Débito,Sin Información,9,Consulta sobre cambio de CLABE interbancaria,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
USR-00035,32.0,M,Otros,Preparatoria,Empleado,15000.0,165.0,1,0,App,752.0,1.0,app_huawei,10.0,0,1,es_MX,0,3.0,0,3.0,399270.97,74.0,Débito + Crédito,Bajo Endeudamiento,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
USR-00036,31.0,M,Veracruz,Preparatoria,Empleado,13500.0,820.0,0,1,App,690.0,8.0,app_ios,8.0,0,0,es_MX,0,4.0,0,0.0,-60427.490000000005,32.0,Usuario Integral,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
USR-00037,28.0,H,Coahuila,Posgrado,Empleado,15000.0,1370.0,0,0,App,760.0,1.0,app_android,10.0,0,0,es_MX,0,1.0,0,2.0,-80222.27,61.0,Solo Débito,Sin Información,3,Cotización de crédito automotriz,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USR-00038,47.0,H,Desconocido,Licenciatura,Empleado,34500.0,1229.0,1,1,App,755.0,4.0,app_ios,9.0,0,0,es_MX,0,3.0,0,0.0,18033.570000000007,59.0,Débito + Crédito,Bajo Endeudamiento,1,Aclaración de cargos no reconocidos,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00039,55.0,M,Sinaloa,Licenciatura,Independiente,27500.0,313.0,0,0,App,626.0,90.0,app_huawei,6.0,0,0,es_MX,0,0.0,0,0.0,26424.92,10.0,Desconocido,Desconocido,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00040,59.0,M,Nuevo León,Preparatoria,Empleado,33000.0,876.0,0,0,App,703.0,6.0,app_ios,10.0,0,0,es_MX,0,2.0,0,1.0,225585.17,58.0,Solo Débito,Sin Información,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
USR-00041,50.0,M,Ciudad de México,Licenciatura,Empleado,19000.0,843.0,1,1,App,615.0,11.0,app_android,8.0,0,0,es_MX,0,2.0,0,0.0,51759.25,39.0,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00042,34.0,M,Veracruz,Preparatoria,Empleado,18000.0,1625.0,0,1,App,412.0,15.0,app_ios,3.0,0,0,es_MX,0,2.0,0,6.0,-42188.69,62.0,Débito + Crédito,Endeudamiento Alto,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
USR-00043,33.0,H,Baja California,Licenciatura,Empresario,89000.0,1221.0,1,0,App,696.0,11.0,app_android,10.0,0,0,es_MX,1,3.0,0,3.0,-134988.83000000002,86.0,Solo Débito,Sin Información,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
USR-00044,25.0,H,Nuevo León,Secundaria,Independiente,28000.0,1589.0,1,0,App,692.0,3.0,app_android,7.0,0,1,es_MX,1,2.0,0,3.0,-20594.11,80.0,Débito + Crédito,Endeudamiento Medio,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
USR-00045,52.0,M,Estado de México,Licenciatura,Empleado,12500.0,482.0,0,1,App,715.0,138.0,app_huawei,4.0,0,0,es_MX,0,1.0,0,0.0,1452.8599999999997,10.0,Solo Débito,Sin Información,1,Aclaración de cargos no reconocidos,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USR-00046,32.0,H,Baja California,Preparatoria,Empleado,19500.0,1669.0,1,0,App,642.0,0.0,app_ios,9.0,0,0,en_US,0,3.0,0,2.0,-4436.809999999998,69.0,Débito + Crédito,Capacidad de Endeudamiento,6,Problemas técnicos y operacionales en transacciones,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
USR-00047,39.0,H,Ciudad de México,Licenciatura,Empleado,19500.0,1142.0,0,1,App,675.0,14.0,app_ios,10.0,0,0,en_US,0,4.0,0,4.0,-19372.820000000007,50.0,Usuario Integral,Bajo Endeudamiento,2,Problemas técnicos y operacionales en transacciones,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00048,45.0,H,Ciudad de México,Licenciatura,Independiente,55000.0,1049.0,0,0,Fan Shop,694.0,5.0,app_huawei,7.0,0,0,es_MX,1,4.0,0,1.0,361571.0,40.0,Débito + Crédito,Capacidad de Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
USR-00049,24.0,M,Ciudad de México,Posgrado,Empleado,12000.0,1444.0,1,0,App,452.0,3.0,app_android,9.0,0,0,es_MX,0,1.0,0,3.0,-137550.22999999998,89.0,Solo Débito,Sin Información,3,Cotización de crédito automotriz,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
USR-00050,53.0,M,Ciudad de México,Posgrado,Independiente,83000.0,1447.0,1,0,Fan Shop,762.0,9.0,app_android,7.0,0,1,es_MX,0,4.0,0,6.0,-66213.06,83.0,Solo Débito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00051,40.0,M,Ciudad de México,Licenciatura,Empresario,20000.0,1007.0,1,0,App,617.0,10.0,app_android,8.0,1,0,es_MX,1,2.0,0,1.0,-136991.94,48.0,Solo Débito,Sin Información,11,Transferencia no recibida o rechazada,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
USR-00052,56.0,M,Ciudad de México,Licenciatura,Estudiante,34000.0,1008.0,0,0,App,629.0,157.0,app_ios,8.0,1,0,es_MX,0,1.0,0,0.0,13108.43,14.0,Otros,Sin Información,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
USR-00053,57.0,H,Sinaloa,Preparatoria,Empleado,9500.0,1109.0,1,0,App,576.0,166.0,app_huawei,7.0,0,0,es_MX,0,0.0,1,0.0,-44542.53,11.0,Desconocido,Desconocido,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
USR-00054,37.0,H,Jalisco,Licenciatura,Empleado,23000.0,1154.0,0,1,App,665.0,4.0,app_huawei,6.0,0,0,es_MX,0,3.0,0,0.0,5756.380000000005,36.0,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00055,37.0,M,Chihuahua,Licenciatura,Empleado,49500.0,258.0,1,0,App,850.0,2.0,app_ios,8.0,0,1,es_MX,1,4.0,0,2.0,126418.33000000002,70.0,Usuario Integral,Bajo Endeudamiento,13,Consulta y gestión de estado de cuenta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
USR-00056,30.0,M,Jalisco,Licenciatura,Independiente,17500.0,457.0,1,0,Fan Shop,693.0,3.0,app_android,9.0,0,0,es_MX,1,2.0,0,2.0,-79201.58000000002,84.0,Débito + Crédito,Bajo Endeudamiento,13,Consulta y gestión de estado de cuenta,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
USR-00057,56.0,H,Desconocido,Licenciatura,Empleado,29000.0,1012.0,0,0,Fan Shop,599.0,5.0,app_huawei,9.0,0,0,es_MX,0,4.0,1,1.0,11013.26000000001,40.0,Débito + Crédito,Capacidad de Endeudamiento,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
USR-00058,40.0,M,Ciudad de México,Posgrado,Empleado,20500.0,1475.0,0,0,App,450.0,4.0,app_android,7.0,0,0,es_MX,0,2.0,0,5.0,-48358.95,40.0,Débito + Crédito,Endeudamiento Alto,2,Reposición y renovación de tarjeta física,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
USR-00059,22.0,H,Tamaulipas,Licenciatura,Independiente,32500.0,180.0,0,0,App,507.0,80.0,app_ios,5.0,0,0,es_MX,0,0.0,0,0.0,-33707.38,9.0,Desconocido,Desconocido,0,Solicitar número de atención al cliente,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USR-00060,41.0,H,Tamaulipas,Preparatoria,Empresario,66000.0,1759.0,1,0,App,530.0,10.0,app_android,7.0,0,0,es_MX,0,3.0,0,2.0,-186513.5,81.0,Débito + Crédito,Bajo Endeudamiento,6,Problemas técnicos y operacionales en transacciones,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
USR-00061,30.0,M,Estado de México,Licenciatura,Independiente,49000.0,384.0,0,0,App,761.0,13.0,app_ios,9.0,0,0,es_MX,0,1.0,1,3.0,-214350.29,74.0,Otros,Sin Información,5,Créditos personales y diferimientos,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
